15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,20,13,13,13,21,15,15,15,15,5,6,3,20,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,21,15,15,15
15,15,15,15,17,22,1,1,3,15,15,15,17,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,15,15,15
15,15,15,15,17,1,2,1,15,15,15,17,1,1,2,1,2,1,16,15,15,17,1,16,15,15,17,1,16,17,1,16,15,15,15,15
15,15,15,15,17,1,2,1,15,15,17,1,1,2,2,1,2,1,16,15,15,17,1,16,15,15,17,1,16,17,1,16,15,15,15,15
15,15,15,15,17,1,2,1,15,17,1,1,2,1,1,1,2,1,16,15,15,17,1,16,15,15,17,1,16,17,1,16,15,15,15,15
15,15,15,15,17,1,2,1,2,1,1,2,1,1,1,1,2,1,16,15,15,17,1,16,15,15,17,1,16,17,1,15,15,15,15,15
15,15,15,15,15,1,15,1,15,1,2,2,15,1,15,15,15,1,15,15,15,15,2,15,15,15,15,3,15,15,1,16,15,15,15,15
15,15,15,15,17,1,2,1,2,1,2,2,8,1,9,12,2,1,16,15,20,13,2,13,21,15,16,3,17,16,1,16,15,15,15,15
15,15,15,0,2,1,2,1,2,1,1,2,17,1,16,15,17,1,16,15,17,1,1,1,15,2,13,13,2,17,1,16,15,15,15,15
15,15,15,1,2,1,2,1,16,8,1,2,17,1,11,13,16,10,12,10,1,2,1,2,1,1,1,1,2,1,16,15,15,15,15,5
15,15,15,1,1,1,2,1,16,17,1,2,3,1,1,1,1,1,1,1,1,1,2,1,1,1,9,8,1,2,1,16,15,15,15,15
15,15,15,20,2,2,2,1,16,17,1,16,17,1,9,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,1,16,15,15,15,15
15,15,15,16,1,1,1,1,16,17,1,16,17,1,16,15,15,15,17,1,1,1,1,1,2,1,1,1,1,2,1,16,15,15,15,15
15,15,15,16,1,2,2,2,2,10,1,11,10,1,16,15,20,13,10,1,2,2,2,1,2,1,5,4,1,2,1,16,15,15,15,15
15,15,15,16,1,2,1,1,1,1,1,1,1,1,11,13,10,1,1,1,1,1,2,1,2,1,16,3,1,2,1,16,15,15,15,15
15,15,15,16,1,2,1,9,12,12,12,12,2,1,1,1,1,1,9,12,8,1,2,1,2,1,2,3,1,2,1,16,15,15,15,15
15,15,15,16,1,1,1,17,15,15,15,15,15,8,1,9,12,12,19,15,2,1,2,1,1,1,16,3,1,1,1,16,15,15,15,15
15,15,15,18,2,2,2,2,13,13,13,13,13,10,1,2,13,13,13,13,2,1,2,2,2,2,2,2,2,2,2,2,2,15,15,15
15,15,15,16,1,3,3,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,21,2,15,2,13,2,15,2,13,2,15,15,15,15
15,15,15,1,1,1,1,1,1,2,2,1,2,2,1,2,1,9,3,1,2,1,1,1,2,1,1,1,2,1,1,1,2,15,15,15
15,15,15,16,1,2,2,1,1,2,2,1,2,2,1,2,1,17,3,1,16,3,2,1,1,1,2,1,1,1,2,1,1,15,15,15
15,15,15,18,12,19,18,8,1,1,1,1,1,1,1,2,1,16,3,1,11,2,13,2,2,2,13,2,2,2,13,2,1,15,15,15
15,15,15,2,1,1,1,1,1,1,1,15,3,1,1,15,1,15,15,15,15,1,1,2,2,1,2,2,1,2,2,1,1,15,15,15
15,15,15,2,1,2,2,2,2,2,2,15,3,1,2,15,1,2,15,15,15,1,1,2,2,15,1,2,2,1,2,2,1,1,15,15
15,15,15,2,1,1,1,1,1,1,2,15,15,1,15,15,1,2,15,15,15,1,1,2,2,1,2,2,1,2,2,1,1,15,15,15
15,15,15,2,2,2,2,2,2,1,2,15,1,1,1,15,1,2,15,15,15,1,1,2,2,1,2,2,1,2,2,1,1,15,15,15
15,15,15,2,1,1,1,1,1,1,2,15,1,15,1,15,1,2,15,15,15,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15
15,15,15,2,1,2,2,2,2,2,2,15,1,15,2,15,1,15,15,15,15,3,3,3,3,3,3,3,3,3,3,3,3,15,15,15
15,15,15,2,1,1,1,1,1,3,2,2,1,1,1,1,1,15,15,15,15,15,15,5,6,7,5,6,7,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
